Item Number,number,Quantity,Equipment,Module,Level of significance,Category,Other Information,UOM,ST,Description 1,Description 2,Search Text,Unit Cost,Extended Cost,jdelitm,prp1,prp2,file_name,Type,DIM,Comm Class,Supplier,Item Pool,Drawing2
24104536,,20,,58,,,,EA,B,WASHER;FLAT M10,20MM OD;ZINC PLATED[GR.5],DIN 125A,0.0164,,24104536,Metric Fastener,Nut & Washer,RP_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104537,,28,,58,,,,EA,B,WASHER;FLAT M12,24MM OD;ZINC PLATED[GR.5],DIN 125A,0.0287,,24104537,Metric Fastener,Nut & Washer,RP_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104537,,28,,58,,,,EA,B,WASHER;FLAT M12,24MM OD;ZINC PLATED[GR.5],DIN 125A,0.0287,,24104537,Metric Fastener,Nut & Washer,RP_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104541,,12,,58,,,,EA,B,WASHER;FLAT M6,12MM OD;ZINC PLATED[GR.5],DIN 125A,0.0046,,24104541,Metric Fastener,Nut & Washer,RP_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104548,,6,,58,,,,EA,B,WASHER;SPRING LOCK,M10,ZINC PLATED,0.0505,,24104548,Metric Fastener,Nut & Washer,RR_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104591,,2,,58,,,,EA,B,HEX.SOC.CAP SCREW,M10-1.50 X 20MM,ZINC PLATED [CL8.8],0.1167,,24104591,Metric Fastener,Hex.Socket Head Product,VTCY_M10-1.50X020.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104737,,8,,58,,,,EA,B,HEX.SOC.CAP SCREW,M8-1.25 X 16MM,ZINC PLATED [CL8.8],0.0468,,24104737,Metric Fastener,Hex.Socket Head Product,VTCY_M08-1.25X016.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104854,,8,,58,,,,EA,B,WASHER;FLAT M6,12MM OD;SS.304[A2],DIN 125A,0.0075,,24104854,Metric Fastener,Nut & Washer,RP_M06_SS.PAR        ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104539,,4,,58,,,,EA,B,WASHER;FLAT M20,37MM OD;ZINC PLATED[GR.5],DIN 125A,0.077,,24104539,Metric Fastener,Nut & Washer,RP_M20.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104065,,2,,58,,,,EA,B,HEX.JAM NUT,3/4-16UNF,ZINC PLATED [GR.5],0.1283,,24104065,Inch Fastener,Nut & Washer,E_CE_0.750-16.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
PT1124830,353086,4,,58,,,,EA,P,PIN;DOWEL,"0.250 X 2.000""",238-045,0.338,,162919,Inch Fastener,"Pin, Rivet, Nail & Needle",PT1124830.par        ,par,,50,6,LAFCO OUTILLAGE INC. (USD),
24104064,,2,,58,,,,EA,B,HEX.JAM NUT-LEFT THD.,3/4-16UNF,ZINC PLATED [GR.5],0.3443,,24104064,Inch Fastener,Nut & Washer,E_CE_0.750-16_LH.PAR ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100053,,6,,58,,,,EA,B,"WASHER;FLAT 0.500""","1.375"" OD;ZINC PLATED[GR.5]",USS,0.042,,24100053,Inch Fastener,Nut & Washer,RP_0.500.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
127796,,2,,58,,,,EA,B,HEX.JAM NUT-LEFT THD.,1/2-20UNF,ZINC PLATED [GR.5],1.8,,127796,Inch Fastener,Nut & Washer,E_CE_0.500-20_LH.PAR ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
